Word,Phonetics,Traduction,Example 1,Example 2
Patient,/ˈpeɪ.ʃənt/,Patient (malade),The patient is waiting in the examination room.,"Please call the next patient, please."
Pain,/peɪn/,Douleur,Where do you feel the pain?,He has chest pain when running.
Fever,/ˈfiː.vər/,Fièvre,Do you have a fever?,The child has a high fever since yesterday.
Prescription,/prɪˈskrɪp.ʃən/,Ordonnance,I’ll give you a prescription for antibiotics.,Please take the prescription to the pharmacy.
Heart,/hɑːt/,Cœur,He has a strong heart.,Listen to the heart sounds carefully.
Bandage,/ˈbæn.dɪdʒ/,Pansement / bandage,Apply a bandage on the wound.,Change the bandage every day.
Breathe,/briːð/,Respirer,Please breathe deeply.,He is breathing normally now.
Tablet,/ˈtæb.lət/,Comprimé / tablette,Take one tablet twice a day.,Swallow the tablet with water.
Emergency,/ɪˈmɜː.dʒən.si/,Urgence,Call the emergency room immediately.,This is a medical emergency.
Medical record,/ˈmed.ɪ.kəl ˈrek.ɔːd/,Dossier médical,Update the medical record after each visit.,The medical record contains the patient’s history.
